area,seniority,title,company,source,location,workplace_type,published_date,url,skills,area_score,area_matches,search_term,external_id,description,regiao,polo
Backend,Júnior,11536005 Analista de Banco de Dados Júnior - Python,Quality Digital,gupy,"São Paulo, São Paulo",Híbrido,2026-06-26,https://qualitydigital.gupy.io/job/eyJqb2JJZCI6MTE1MzYwMDUsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal,Python,6.0,"banco de dados(t), python(t)",analista de dados junior,11536005,"Nós somos a Quality Digital! Saiba mais sobre a gente:Uma frase que nos define - Somos especialistas em soluções de TI e apaixonados por inovação! 🚀Ao infinito e além - Somos #semfronteiras. Nosso time está espalhado pelo Brasil e pelo mundo 🌎Nossa cultura - Mesmo distantes, estamos juntos 🧡 Temos cerimônias para estarmos mais próximos, compartilhar conhecimento e ficar por dentro das novidades da nossa empresa!Somos diversos - Um dos nossos compromissos é fazer da companhia um ambiente cada vez",Sudeste,São Paulo
Backend,Júnior,ANALISTA DE PRODUTIVIDADE JÚNIOR (DESENVOLVEDOR),positiveco,gupy,"Fortaleza, Ceará",Presencial,2026-07-13,https://positiveco.gupy.io/job/eyJqb2JJZCI6MTE2MTU5NTQsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal,,11.0,"banco de dados, postgresql, back end, fastapi, python, apis, rest, node",desenvolvedor junior,11615954,"Nós da Positive Company criamos marcas e produtos a base de plantas e pensados para criar um impacto positivo não só nas categorias que atuamos mas também no planeta.Somamos nossa liderança de mercado na categoria de alimentos de origem vegetal à estrutura, força de venda e capacidade de distribuição do Grupo 3corações para que mais pessoas tenham acesso aos nossos produtos em todo o Brasil. Se você é autêntico(a), acredita em valores como verdade e ética e quer transformar o mundo em um lugar m",Nordeste,Fortaleza
Backend,Júnior,ANALISTA PROGRAMADOR JUNIOR,SPDM/PAIS,gupy,"São Paulo, São Paulo",Presencial,2026-07-02,https://spdmpais.gupy.io/job/eyJqb2JJZCI6MTE1NzYwNzcsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal,,3.0,"banco de dados, oracle, c#",programador junior,11576077,"A SPDM - Associação Paulista para o Desenvolvimento da Medicina é uma Associação civil sem fins lucrativos, de natureza filantrópica, reconhecida de utilidade pública federal, estadual e no município de sua sede, respectivamente pelos decretos nos. 57.925, de 04/03/1966, 40.103 de 17/05/1962 e 8.911, de 30/07/1970.A Instituição atua nos âmbitos federal, estadual e municipal, em harmonia com suas políticas de saúde e de educação, e também como organização social habilitada em vários estados, na g",Sudeste,São Paulo
Backend,Júnior,Analista de Sistemas Júnior,Techne,gupy,Brasil,Remoto,2026-06-26,https://techne.gupy.io/job/eyJqb2JJZCI6MTE1MzYwNTEsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal,Inteligência Artificial,7.0,"back end, apis, rest, node",analista de sistemas junior,11536051,"Buscamos um(a) Analista de Sistemas Júnior para atuar no desenvolvimento e evolução das plataformas de chatbot e inteligência artificial da empresa. É uma oportunidade para quem quer trabalhar com sistemas reais, integrações e APIs desde o início da jornada, com forte exposição técnica e aprendizado contínuo.Você fará parte de um time que constrói soluções que impactam diretamente a experiência de alunos, professores e equipes administrativas, contribuindo para sistemas que precisam ser robustos",Remoto Nacional,Remoto
Backend,Júnior,Analista de Sistemas Júnior,Centro Universitário FEI,gupy,"São Bernardo do Campo, São Paulo",Presencial,2026-05-25,https://centrouniversitariofei.gupy.io/job/eyJqb2JJZCI6MTEzNTUzNTMsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal,".NET, API REST, Inteligência Artificial, Oracle, SQL, SQL Server",3.0,"banco de dados, oracle, net",analista de sistemas junior,11355353,"Com mais de oito décadas de tradição, o Centro Universitário FEI, instituição católica jesuíta vinculada à Companhia de Jesus, destaca-se entre as instituições de Ensino Superior no Brasil nas áreas de Administração, Ciência da Computação, Ciência de Dados e Inteligência Artificial e Engenharia. Referência em gestão, inovação e tecnologia, a FEI já formou mais de 60 mil profissionais e tem como propósito proporcionar conhecimento aos seus alunos por todos os meios necessários, visando à construç",Sudeste,São Paulo
Backend,Júnior,Analista de Sistemas Júnior (SAP / MES),4DF Connect,linkedin,"Joinville, SC",Presencial,2026-06-02,https://br.linkedin.com/jobs/view/analista-de-sistemas-j%C3%BAnior-sap-mes-at-4df-connect-4422454362,SAP,3.0,sap(t),analista de sistemas junior,4422454362,,Sul,Florianópolis
Backend,Júnior,Analista de Sistemas Júnior | SAP Business One,Zummit,linkedin,"São José da Lapa, MG",Presencial,2026-07-14,https://br.linkedin.com/jobs/view/analista-de-sistemas-j%C3%BAnior-sap-business-one-at-zummit-4439884875,SAP,3.0,sap(t),analista de sistemas junior,4439884875,,Sul,Florianópolis
Backend,Júnior,Banco de Talentos | Analista de Sistemas Júnior,domoinovacao,gupy,Brasil,Remoto,2026-04-08,https://domo.gupy.io/job/eyJqb2JJZCI6MTExMDU5MzQsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal,".NET, C#, COBOL, SQL, SQL Server",4.0,"banco de dados, apis, net, c#",analista de sistemas junior,11105934,"Somos o DOMOO hub de inovação e tecnologia de um dos maiores e mais consolidados bancos do Brasil: o Banco Mercantil. Criado para atuar como um núcleo de desenvolvimento de soluções conectadas com o novo e com as demandas do futuro.Somos intensos na busca por soluções e acreditamos que, para sermos inovadores, precisamos trabalhar em uma esfera profunda de ideias sem restrições.Aqui, boas ideias sempre têm espaço. Acreditamos na força da diversidade e no poder da inclusão para transformar realid",Remoto Nacional,Remoto
Backend,Estágio,Banco de Talentos | Estágio em desenvolvimento de Software - Porto Alegre / 2026,Instituto de Pesquisas ELDORADO,gupy,"Porto Alegre, Rio Grande do Sul",Híbrido,2026-05-22,https://institutoeldorado.gupy.io/job/eyJqb2JJZCI6MTEzNDM4MzUsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal,"C#, Git, Java, JavaScript, Metodologias Ágeis, Python, Scrum, UX/UI",4.0,"banco de dados, python, java, c#",estagio desenvolvimento,11343835,"PcDs são sempre bem-vindas.Buscamos pessoas apaixonadas por tecnologia. Alguém que se motive por desafios e atue com autonomia. Precisa gostar de trabalhar em equipe e possuir espírito colaborativo.Responsabilidades e atribuiçõesComo estagiário(a) na área de Tecnologia, você poderá atuar em diferentes frentes, como:Apoio no desenvolvimento e manutenção de sistemas e aplicações;Suporte à equipe em projetos de tecnologia (software, dados, infraestrutura etc.);Auxílio na análise e levantamento de r",Sul,Porto Alegre
Backend,Júnior,DESENVOLVEDOR BACKEND JÚNIOR - SUSTENTAÇÃO E SUPORTE TÉCNICO,Kora CRM,programathor,,Remoto,,https://programathor.com.br/jobs/33676-desenvolvedor-backend-junior-sustentacao-e-suporte-tecnico,"JavaScript, Node.js, PostgreSQL, SQL",14.0,"postgresql, backend(t), node",Júnior,33676,"Tecnologias: API, Node.js, SQL, PostgreSQL. Contrato: PJ. Empresa: Startup. Faixa salarial: Até R$4.000.",Remoto Nacional,Remoto
Backend,Júnior,Desenvolvedor Back-end Júnior,Housi,linkedin,Brasil,Remoto,2026-07-07,https://br.linkedin.com/jobs/view/desenvolvedor-back-end-j%C3%BAnior-at-housi-4436834474,,24.0,"desenvolvedor back(t), back end(t)",desenvolvedor junior,4436834474,,Remoto Nacional,Remoto
Backend,Júnior,Desenvolvedor Backend Junior,Digisystem,linkedin,Brasil,Remoto,2026-07-14,https://br.linkedin.com/jobs/view/desenvolvedor-backend-junior-at-digisystem-it-solutions-4440365507,,12.0,backend(t),desenvolvedor junior,4440365507,,Remoto Nacional,Remoto
